ID_REF	VALUE
syc0570-m_at	64.12513021
syc0571-m_at	192.9551515
syc0572-h_at	4858.257939
syc0573-m_at	5513.810302
syc0574-h_at	85.54018423
syc0575-m_at	130.9133784
syc0576-m_at	119.0837298
syc0577-h_at	457.0615916
syc0578-m_at	1732.44169
syc0579-h_at	99.87441864
syc0580-m_at	176.0041781
syc0581-h_at	1760.594086
syc0582-m_at	150.2520606
syc0583-h_at	359.1011477
syc0584-h_at	1250.205615
syc0585-m_at	388.1735019
syc0586-m_at	143.9857204
syc0587-h_at	233.6232374
syc0588-h_at	256.8440562
syc0589-m_at	307.8015604
syc0590-m_at	159.0894968
syc0591-h_at	416.0031584
syc0592-h_at	1198.703777
syc0593-m_at	447.1684148
syc0594-m_at	357.2617302
syc0595-m_at	242.9009495
syc0596-m_at	285.5311987
syc0597-h_at	547.0076009
syc0598-m_at	248.1030697
syc0599-m_at	210.1712152
syc0600-m_at	219.1791747
syc0601-m_at	162.5153711
syc0602-h_at	87.81489883
syc0603-m_at	57.50669594
syc0604-h_at	93.50436509
syc0605-h_at	1073.221138
syc0606-m_at	2487.041333
syc0607-m_at	451.7736774
syc0608-m_at	965.4156849
syc0609-h_at	668.4181471
syc0610-h_at	55.45776015
syc0611-m_at	324.5058107
syc0612-m_at	85.57082821
syc0613-m_at	80.1899644
syc0614-h_at	77.48341125
syc0615-m_at	223.5846921
syc0616-h_at	411.0895557
syc0617-h_at	512.8562283
syc0618-h_at	845.3647093
syc0619-h_at	731.2404769
syc0620-h_at	1693.956781
syc0621-h_at	779.4054716
syc0622-h_at	271.7383615
syc0623-m_at	399.2469854
syc0624-m_at	409.2116019
syc0625-m_at	730.420463
syc0626-m_at	122.9134185
syc0627-m_at	291.4476098
syc0628-m_at	7731.793217
syc0629-h_at	1254.911386
syc0630-h_at	1138.798804
syc0631-m_at	1281.828593
syc0632-m_at	3547.678249
syc0633-m_at	889.1228232
syc0634-m_at	258.7850931
syc0635-m_at	107.9872545
syc0636-h_at	145.7722202
syc0637-h_at	342.8268357
syc0638-h_at	1610.097875
syc0639-h_at	1783.810891
syc0640-h_at	626.5570013
syc0641-h_at	314.9363775
syc0642-h_at	797.3344203
syc0643-m_at	1106.382484
syc0644-m_at	200.4284705
syc0645-h_at	479.1574831
syc0646-m_at	465.0055492
syc0647-m_at	135.3235524
syc0648-h_at	272.0868782
syc0649-h_at	735.8281619
syc0650-h_at	898.9977787
syc0651-m_at	106.7142301
syc0652-m_at	129.1741336
syc0654-m_at	107.5633186
syc0655-h_at	623.7516892
syc0656-h_at	2691.06498
syc0657-m_at	361.9562109
syc0658-m_at	271.734144
syc0659-m_at	4630.541066
syc0660-m_at	4872.258271
syc0661-m_at	6010.128923
syc0662-m_at	8941.933966
syc0663-m_at	6930.556387
syc0664-m_at	696.1413775
syc0665-h_at	232.0459829
syc0666-m_at	628.769389
syc0667-h_at	122.9874214
syc0668-h_at	966.0058278
syc0669-h_at	288.1885756
syc0670-h_at	506.3838707
syc0671-m_at	487.3173798
syc0672-m_at	218.4092038
syc0673-m_at	298.9236342
syc0674-h_at	74.20398423
syc0675-m_at	308.2523257
syc0676-m_at	284.0224142
syc0677-h_at	70.07726969
syc0678-h_at	186.3548398
syc0679-h_at	748.6530964
syc0680-h_at	981.6123013
syc0681-h_at	464.4056335
syc0682-h_at	1513.394452
syc0683-h_at	760.0391694
syc0684-h_at	1035.910386
syc0685-m_at	865.1783461
syc0686-h_at	225.6781844
syc0687-h_at	327.4678857
syc0688-h_at	586.6837908
syc0689-h_at	593.9256811
syc0690-h_at	759.9781303
syc0691-h_at	550.4122124
syc0692-h_at	365.5887474
syc0693-h_at	784.283309
syc0694-h_at	102.6615191
syc0695-h_at	565.7219145
syc0696-m_at	1963.057326
syc0697-m_at	1720.716403
syc0698-m_at	336.8333758
syc0699-m_at	1471.66552
syc0700-m_at	420.7306675
syc0701-h_at	63.09301653
syc0702-m_at	494.3568726
syc0703-m_at	2545.27748
syc0704-m_at	817.0534517
syc0705-h_at	68.31804544
syc0706-m_at	55.42841758
syc0708-m_at	53.02704025
syc0709-m_at	10.69537258
syc0710-m_at	5.199063629
syc0711-m_at	22.85146388
syc0712-h_at	168.5894312
syc0713-h_at	1769.323762
syc0714-h_at	904.2624527
syc0715-m_at	11.16638288
syc0716-m_at	111.2772796
syc0717-h_at	302.8756024
syc0718-m_at	256.2324642
syc0719-m_at	994.6458174
syc0720-h_at	265.8207282
syc0721-m_at	170.0758648
syc0722-h_at	263.8357388
syc0723-h_at	342.1577019
syc0724-h_at	159.9816199
syc0725-h_at	203.9463512
syc0726-h_at	616.2346034
syc0727-h_at	1310.357713
syc0728-h_at	1646.723472
syc0729-m_at	234.4551725
syc0730-m_at	87.95700661
syc0731-h_at	413.9240136
syc0732-h_at	612.2166601
syc0733-h_at	876.3771824
syc0734-h_at	781.7039192
syc0735-h_at	238.0933255
syc0736-h_at	499.4428412
syc0737-m_at	201.058165
syc0738-h_at	77.0088136
syc0739-h_at	201.1717883
syc0740-h_at	539.6817154
