Reporter Identifier	VALUE
637798920	-0.018920505
637798921	-0.156229755
637798922	0.067131639
637798923	-0.075492488
637798924	0.067860119
637798926	0.031883545
637798927	-0.308647446
637798928	-0.247584219
637798929	-0.304798914
637798930	0.047929423
637798931	-0.185172922
637798932	0.079691544
637798933	-0.206578161
637798934	-0.091730599
637798935	0.395531498
637798936	0.054127845
637798937	0.07288258
637798938	-0.102816206
637798939	-0.028314499
637798940	-0.320650711
637798941	-0.312705226
637798942	-0.396606442
637798943	0.008991467
637798944	-0.686429293
637798945	-0.570312925
637798946	-0.479728211
637798947	-0.017859339
637798948	-0.165688522
637798949	0.015902767
637798950	-0.048099729
637798951	0.25788762
637798952	-0.010546386
637798953	0.107400411
637798954	0.277074508
637798955	-0.028487888
637798956	0.089466483
637798957	-0.019510466
637798958	-0.249694178
637798959	1.171709771
637798960	-0.020622453
637798961	-0.148474178
637798962	-0.560821313
637798963	-0.005632927
637798964	0.876076213
637798965	0.510751485
637798966	0.156394413
637798967	-0.027451496
637798968	-0.08640239
637798969	-0.001330673
637798970	0.046812275
637798971	0.001925957
637798972	0.04038997
637798973	0.163573818
637798974	-0.002270869
637798975	0.24826123
637798976	-0.033560218
637798977	0.232757594
637798978	-0.025523185
637798979	0.175385354
637798980	0.052069427
637798981	0.914913308
637798982	-0.030732367
637798983	-0.191923957
637798984	0.115097974
637798985	-0.190055634
637798986	-0.495332463
637798987	-0.308307507
637798988	-0.073214923
637798989	0.315782389
637798990	-0.097340127
637798991	-0.330450078
637798992	-0.565419262
637798993	-0.647303389
637798994	-0.019678941
637798998	-0.177972561
637798999	0.003592781
637799000	-0.192106252
637799001	0.135302186
637799002	0.10401081
637799003	0.039433385
637799004	-0.014845037
637799005	0.247153151
637799006	0.341682386
637799007	0.087814229
637799008	0.111882166
637799009	-0.279403828
637799010	0.981837896
637799011	0.090222441
637799012	-0.178302655
637799013	-0.321998052
637799014	-0.496007716
637799015	-0.694447511
637799016	-0.002131278
637799017	-0.196387777
637799018	0.075518912
637799019	-0.307657685
637799020	-0.280895634
637799021	-0.188690767
637799022	-0.165641281
637799023	-0.251351264
637799024	-0.121991661
637799025	-0.301957363
637799026	-0.093945221
637799027	-0.123021807
637799028	0.04150355
637799029	-0.332499677
637799030	-0.155150361
637799031	0.135652355
637799032	0.148193731
637799033	-0.066140758
637799035	-0.176825225
637799036	-0.145785457
637799037	-0.191746342
637799038	-0.088694849
637799039	0.014122618
637799040	-0.130258748
637799041	-0.012218954
637799042	0.151159366
637799043	-0.38829591
637799044	-0.37751009
637799045	-0.525342796
637799046	-0.485951576
637799047	-0.279570845
637799048	-0.384653175
637799049	-0.122725022
637799050	-0.305919894
637799051	-0.64332983
637799052	-0.243656584
637799053	0.141666331
637799054	0.033718721
637799055	-0.027090762
637799056	0.283949676
637799057	-0.413059512
637799058	-0.249792649
637799059	0.376558887
637799060	0.09687622
637799061	-0.080001292
637799062	-0.145780394
637799063	0.35553658
637799064	-0.060210091
637799065	-0.190820403
637799066	-0.290018906
637799067	0.01109463
637799068	0.044426357
637799069	-0.384732864
637799070	-0.322868401
637799071	0.203717076
637799072	0.065173901
637799073	0.167363924
637799074	0.295208287
637799075	0.096354258
637799076	0.076878979
637799077	-0.023973374
637799078	0.212443017
637799079	-0.317954976
637799080	0.840745617
637799081	0.000994895
637799082	0.189749311
637799083	0.141351483
637799084	0.056811388
637799085	-0.181494202
637799086	-0.382598732
637799087	-0.14876107
637799088	0.015739515
637799089	0.12685201
637799090	-0.157888142
637799091	-0.375199483
637799092	0.708559936
637799093	-0.143214596
637799094	-0.02154132
637799095	-0.097500974
637799096	-0.175365068
637799097	0.359700073
637799098	0.613928242
637799099	0.488626789
637799100	0.083375763
637799101	-0.018239318
637799102	-0.136396956
637799103	0.208169905
637799104	0.46288252
637799105	0.166184787
637799106	-0.097263103
637799107	0.042207878
637799108	-0.093872702
637799109	-0.08438172
637799110	-0.204410255
637799111	-0.272406665
637799112	-0.093367522
637799113	-0.247668976
637799114	-0.078412883
637799115	0.52956584
637799116	0.379120759
637799117	0.202838309
637799118	0.013436795
637799119	-0.061684416
637799121	-0.427895304
637799122	0.160408181
637799123	-0.041970064
637799124	-0.082475207
637799125	0.045980082
637799126	-0.072338917
637799127	0.167898008
637799128	0.151781642
637799129	-0.071906328
637799130	-0.026198322
637799131	-0.208834479
637799132	-0.049791106
637799133	0.357286337
637799134	0.111786392
637799135	-0.082547896
637799136	-0.046301257
637799137	-0.044202799
637799138	-0.071876885
637799139	0.000349684
637799140	-0.083287885
637799141	-0.046370051
637799142	0.030714602
637799143	0.021604597
637799144	0.093517508
637799146	-0.225176298
637799147	-0.237665417
637799148	-0.113674504
637799149	-0.177297049
637799150	-0.085026374
637799151	-0.096330161
637799152	-0.06430022
637799153	0.043658272
637799154	-0.231516228
637799155	0.069429446
637799157	-0.21192121
637799158	0.027127701
637799159	0.03459712
637799160	-0.13662056
637799161	-0.067213855
637799162	-0.126656748
637799163	-0.011230313
637799164	0.077765824
637799165	0.081314554
637799166	0.064461329
637799167	0.046410283
637799168	0.062060677
637799169	0.024462563
637799170	-0.297153224
637799171	0.415534503
637799172	-0.108594118
637799173	-0.341485901
637799174	-0.723982373
637799175	-0.450865846
637799176	-0.507099125
637799177	-0.22128366
637799178	-0.097953284
637799179	-0.094928171
637799180	0.035358208
637799181	0.078097151
637799182	-0.391011144
637799184	0.497814407
637799185	0.362717085
637799186	0.373001107
637799187	-0.226811104
637799188	-0.134722682
637799189	-0.22553153
637799190	-0.098278235
637799191	-0.120946979
637799192	-0.48557575
637799193	0.042053957
637799194	0.133457647
637799195	-0.120821985
637799196	0.110945755
637799197	0.643863202
637799198	-0.001997258
637799199	-0.09372332
637799200	0.185738572
637799201	-0.115182444
637799202	-0.291225981
637799203	-0.056729885
637799204	-0.068242196
637799205	0.113812599
637799206	-0.288283288
637799207	-0.012026427
637799208	0.115674219
637799209	-0.17405779
637799210	-0.018271313
637799211	0.031536779
637799212	0.111319837
637799213	0.753418392
637799214	0.173350536
637799215	-0.119261556
637799216	-0.113758625
637799217	-0.185650677
637799218	-0.014376751
637799220	-0.079316934
637799221	-0.06091036
637799222	-0.066191807
637799223	-0.068399212
637799224	0.252591037
637799225	-0.299831613
637799226	-0.001280127
637799227	0.049068316
637799228	-0.007234903
637799229	0.120986619
637799230	0.098817355
637799231	-0.057095861
637799232	0.086990145
637799233	-0.203696423
637799234	-0.153221466
637799235	-0.745108219
637799236	-0.344211397
637799237	0.031483739
637799238	-0.0747403
637799239	-0.070477239
637799240	0.035755834
637799241	0.07504651
637799242	0.012116912
637799243	-0.418047625
637799244	0.110463861
637799245	-0.024616853
637799246	-0.419613888
637799247	-0.146783465
637799248	0.047633122
637799249	-0.118299979
637799250	1.909597863
637799251	-0.109389903
637799252	0.060544455
637799253	0.049786653
637799254	-0.089339097
637799255	-0.153616085
637799256	-0.263145274
637799257	-0.156570394
637799258	-0.19772193
637799259	-0.220562014
637799260	-0.271601439
637799261	-0.206320589
637799262	0.173326677
637799263	0.215904888
637799264	-0.444653447
637799265	-0.163039868
